"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-05-30 ~ 2026-06-06"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","광주광역시 남구 주월동","373","0373","0000","주월스카이","59.4000","202606","06","8,900","-","12","개인","개인","1987","서문대로823번길 7-15","-","중개거래","광주 남구","-"
"2","전북특별자치도 전주시 덕진구 송천동1가","141","0141","0000","현대(2차)","59.9700","202606","06","18,100","-","13","개인","개인","1997","솔내로 124","-","중개거래","전북 전주시 덕진구, 전북 전주시 완산구","-"
"3","경기도 평택시 장안동","619","0619","0000","평택장안마을코오롱하늘채","84.9448","202606","06","28,500","-","12","개인","개인","2013","추담로 58-78","-","중개거래","경기 평택시","-"
"4","광주광역시 남구 주월동","458-1","0458","0001","호반베르디움1차","103.8180","202606","06","45,000","-","10","개인","개인","2006","회재로1186번길 24","-","중개거래","광주 남구","-"
"5","전북특별자치도 전주시 덕진구 고랑동","1224","1224","0000","고랑동노블레스더센텀","59.9552","202606","06","22,200","-","22","개인","개인","2016","여산로 253","-","중개거래","전북 전주시 덕진구","-"
"6","세종특별자치시  종촌동","690","0690","0000","가재마을5단지","59.9383","202606","06","44,000","-","13","개인","개인","2014","도움1로 105","-","중개거래","세종","-"
"7","부산광역시 기장군 일광읍 삼성리","773","0773","0000","e편한세상일광","84.9868","202606","06","48,000","-","4","개인","개인","2020","해빛2로 21","-","중개거래","부산 기장군, 부산 해운대구","-"
"8","부산광역시 기장군 일광읍 삼성리","785","0785","0000","일광자이푸르지오2단지","84.9062","202606","06","51,000","-","11","개인","개인","2020","해빛로 29","-","중개거래","부산 기장군","-"
"9","경상남도 김해시 장유동","847","0847","0000","율하자이힐스테이트","84.9900","202606","06","53,000","-","19","개인","개인","2019","율하6로 17","-","중개거래","경남 김해시","-"
"10","경상남도 김해시 장유동","849","0849","0000","원메이저푸르지오","84.9639","202606","06","44,200","-","4","개인","개인","2018","율하로 479","-","중개거래","경남 김해시","-"
"11","경상남도 김해시 장유동","846","0846","0000","원메이저자이","74.9699","202606","06","38,300","-","20","개인","개인","2018","율하6로 18","-","중개거래","경남 김해시","-"
"12","경상남도 김해시 율하동","1317","1317","0000","율상마을모아미래도6단지","84.6945","202606","06","38,300","-","19","개인","개인","2014","율하1로 90","-","중개거래","경남 김해시, 부산 사상구","-"
"13","경상남도 김해시 율하동","1369","1369","0000","율현마을동원로얄듀크1차","84.9828","202606","06","28,500","-","2","개인","개인","2013","율하2로 125","-","중개거래","경남 김해시","-"
"14","경기도 화성시 동탄구 석우동","55","0055","0000","롯데캐슬","96.4000","202606","06","88,800","-","16","개인","개인","2008","동탄반석로 231","-","중개거래","경기 화성시 동탄구","-"
"15","경상남도 김해시 율하동","1371","1371","0000","신리마을중앙하이츠8단지","108.7052","202606","06","43,000","-","6","개인","개인","2009","율하3로 76","-","중개거래","경남 김해시","-"
"16","전북특별자치도 전주시 덕진구 송천동1가","123-12","0123","0012","영창드림맨션","114.7800","202606","06","23,000","-","1","개인","개인","1997","솔내6길 7","-","중개거래","전북 전주시 덕진구","-"
