"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-02-28 ~ 2026-03-07"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","부산광역시 부산진구 부암동","720","0720","0000","쌍용스윗닷홈","94.4120","202603","06","26,400","-","7","개인","개인","2004","백양산로 70","-","중개거래","부산 부산진구","-"
"2","부산광역시 동래구 온천동","1842","1842","0000","온천삼정그린코아더베스트","84.8128","202603","06","52,000","-","29","개인","개인","2019","중앙대로1493번길 16","-","중개거래","부산 동래구","-"
"3","광주광역시 광산구 월계동","764-4","0764","0004","첨단두산1차","59.8570","202603","06","19,000","-","3","개인","개인","1996","월계로 117-21","-","직거래","-","-"
"4","광주광역시 서구 풍암동","1132","1132","0000","우미광장","59.9550","202603","06","16,300","-","18","개인","법인","2000","풍암순환로 183","-","중개거래","광주 서구","-"
"5","서울특별시 노원구 공릉동","492-1","0492","0001","대아2차아파트","114.9600","202603","06","72,500","-","9","개인","개인","2000","동일로183길 34","-","중개거래","서울 노원구","-"
"6","경기도 이천시 안흥동","267-5","0267","0005","이천코아루휴티스1단지","84.9901","202603","06","34,500","-","38","개인","개인","2021","애련정로 67-23","-","중개거래","경기 이천시","-"
"7","전북특별자치도 전주시 덕진구 덕진동2가","683","0683","0000","하가더루벤스","84.9290","202603","06","38,500","-","7","개인","개인","2012","추탄로 61","-","중개거래","전북 전주시 덕진구, 전북 전주시 완산구","-"
"8","대구광역시 달서구 월성동","270","0270","0000","월성주공4단지","41.3000","202603","06","7,500","-","3","개인","개인","1992","구마로14남길 55","-","직거래","-","-"
"9","전북특별자치도 완주군 삼례읍 수계리","1241-1","1241","0001","완주삼봉우미린에코포레","69.9973","202603","06","40,000","-","15","개인","개인","2022","삼봉3로 50","-","중개거래","광주 북구, 전북 익산시","-"
"10","부산광역시 수영구 광안동","165-5","0165","0005","더클래스센텀","73.6400","202603","06","35,500","-","14","개인","개인","2018","광안로16번길 52","-","중개거래","부산 수영구","-"
"11","경기도 남양주시 별내동","1047","1047","0000","신안인스빌","84.9920","202603","06","71,000","-","12","개인","개인","2012","순화궁로 18","-","중개거래","경기 남양주시","-"
"12","광주광역시 광산구 운남동","800","0800","0000","우방아이유쉘","59.7699","202603","06","31,300","-","11","개인","개인","2015","임방울대로 154-24","-","중개거래","광주 광산구","-"
"13","전북특별자치도 완주군 이서면 은교리","851","0851","0000","완주이서양우내안애퍼스트힐아파트","59.9322","202603","06","19,850","-","9","개인","개인","2023","원앙1길 50","-","중개거래","전북 완주군, 전북 전주시 덕진구","-"
"14","경상남도 양산시 동면 내송리","908","0908","0000","사송트루엘","59.7500","202603","06","28,300","-","11","개인","개인","2022","내송큰들로 84","-","중개거래","경남 양산시, 부산 연제구","-"
"15","광주광역시 서구 화정동","1712","1712","0000","더샵염주센트럴파크","76.9341","202603","06","56,600","-","15","개인","개인","2022","월드컵4강로 27","-","중개거래","광주 남구, 광주 서구","-"
"16","충청북도 충주시 교현동","1358","1358","0000","중흥S-클래스","84.8050","202603","06","32,500","-","13","개인","개인","2008","금봉8길 23","-","중개거래","충북 충주시","-"
"17","전라남도 목포시 산정동","1277","1277","0000","예그리나1","41.6600","202603","06","8,000","-","11","개인","개인","2014","자유로71번길 2","-","직거래","-","-"
"18","광주광역시 서구 농성동","702","0702","0000","농성SKVIEWCentral","84.9752","202603","06","56,000","-","29","개인","법인","2019","상무대로1147번길 16","-","직거래","-","-"
"19","경상남도 창원시 마산회원구 양덕동","84-1","0084","0001","메트로시티","84.8902","202603","06","58,300","-","36","개인","개인","2009","양덕서로 30","-","중개거래","경남 창원시 마산회원구","-"
"20","부산광역시 사하구 괴정동","1286","1286","0000","괴정한신더휴","59.7929","202603","06","31,950","-","5","개인","개인","2022","사리로 106","-","중개거래","부산 사하구","-"
