"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-05-16 ~ 2026-05-23"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 은평구 녹번동","282","0282","0000","힐스테이트녹번","84.8980","202605","23","130,000","-","2","개인","개인","2019","통일로 610","-","중개거래","서울 은평구","-"
"2","서울특별시 은평구 응암동","769","0769","0000","녹번역e편한세상캐슬","59.9700","202605","23","129,000","-","7","개인","개인","2021","은평로 220","-","중개거래","서울 은평구","-"
"3","서울특별시 영등포구 여의도동","32","0032","0000","수정","150.6500","202605","23","275,000","-","1","개인","개인","1976","국제금융로7길 1","-","중개거래","서울 영등포구","-"
"4","부산광역시 수영구 망미동","1168","1168","0000","수영SKVIEW2단지","38.5757","202605","23","20,000","-","4","개인","개인","2019","망미배산로70번라길 8","-","중개거래","부산 수영구","-"
"5","충청남도 천안시 서북구 백석동","1178","1178","0000","백석2차아이파크","84.9868","202605","23","41,500","-","6","개인","개인","2014","한들3로 35-23","-","중개거래","충남 천안시 서북구","-"
"6","서울특별시 은평구 불광동","643","0643","0000","북한산힐스테이트7차","84.9470","202605","23","123,000","-","6","개인","개인","2011","통일로 796","-","중개거래","서울 은평구","-"
"7","경기도 수원시 영통구 이의동","1252","1252","0000","광교역참누리포레스트","59.5653","202605","23","74,200","-","7","개인","개인","2015","대학3로 55","-","중개거래","경기 수원시 영통구, 경기 수원시 장안구","-"
"8","서울특별시 은평구 응암동","770","0770","0000","힐스테이트녹번역","84.9900","202605","23","150,000","-","17","개인","개인","2022","은평로 240","-","중개거래","서울 은평구","-"
"9","경기도 고양시 일산동구 중산동","1700","1700","0000","하늘마을2단지","75.3800","202605","23","41,000","-","10","개인","개인","2007","하늘마을로 94","-","중개거래","경기 고양시 일산동구, 경기 용인시 수지구","-"
"10","인천광역시 연수구 연수동","582","0582","0000","풍림1","69.7400","202605","23","32,000","-","7","개인","개인","1992","함박뫼로 250","-","중개거래","인천 연수구","-"
