"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-04-04 ~ 2026-04-11"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 평택시 고덕면 궁리","520","0520","0000","평택영화블렌하임","84.9700","202604","11","23,500","-","9","개인","개인","2008","궁2길 37-24","-","중개거래","경기 평택시","-"
"2","경기도 평택시 고덕동","2664-1","2664","0001","고덕국제신도시대광로제비앙THEART","84.9656","202604","11","52,300","-","15","개인","개인","2022","고덕국제6로 49","-","중개거래","경기 평택시","-"
"3","경기도 평택시 고덕면 궁리","523","0523","0000","고덕하늘채시그니처","59.9717","202604","11","27,500","-","13","개인","개인","2021","효덕새싹길 55","-","중개거래","경기 평택시","-"
"4","서울특별시 은평구 응암동","760","0760","0000","백련산힐스테이트2차","84.3700","202604","11","88,000","-","9","개인","개인","2011","백련산로 38","-","중개거래","서울 은평구","-"
"5","서울특별시 은평구 응암동","771","0771","0000","e편한세상백련산","59.8700","202604","11","88,000","-","12","개인","개인","2022","백련산로 112","-","중개거래","서울 은평구","-"
"6","경기도 평택시 고덕동","2706-1","2706","0001","고덕국제신도시금호어울림","59.9800","202604","11","37,900","-","19","개인","개인","2023","고덕로 191","-","중개거래","경기 평택시","-"
"7","경기도 평택시 독곡동","474","0474","0000","아주2","59.9100","202604","11","14,600","-","3","개인","개인","1995","지산천로 40","-","중개거래","경기 평택시","-"
"8","경기도 안양시 동안구 비산동","425","0425","0000","삼성래미안","59.8710","202604","11","70,500","-","6","개인","개인","2003","관악대로 135","-","중개거래","경기 안양시 동안구","-"
"9","서울특별시 은평구 불광동","643","0643","0000","북한산힐스테이트7차","59.9810","202604","10","104,000","-","16","개인","개인","2011","통일로 796","-","중개거래","서울 은평구","-"
"10","서울특별시 은평구 구산동","159-10","0159","0010","브라운스톤구산","84.8900","202604","10","69,000","-","1","개인","개인","2006","갈현로17길 17","-","중개거래","서울 은평구","-"
