"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-06-06 ~ 2026-06-13"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","울산광역시 북구 중산동","1317-3","1317","0003","U-스타시티일동미라주더스타2단지","73.4718","202606","12","33,500","-","4","개인","개인","2018","중산로 47","-","중개거래","울산 북구","-"
"2","부산광역시 강서구 명지동","3354","3354","0000","명지1차 금강펜테리움 센트럴파크","61.2559","202606","12","30,800","-","10","개인","개인","2015","명지국제5로 59","-","중개거래","부산 강서구","-"
"3","전북특별자치도 군산시 조촌동","895-16","0895","0016","현대한솔","84.6305","202606","12","10,000","-","3","개인","개인","2001","번영로 159","-","중개거래","전북 군산시","-"
"4","경기도 용인시 기흥구 보라동","558","0558","0000","신창미션힐","164.5189","202606","12","44,000","-","11","개인","개인","2002","사은로126번길 33","-","중개거래","경기 용인시 기흥구","-"
"5","경기도 화성시 동탄구 영천동","890","0890","0000","동탄파크한양수자인","74.9600","202606","12","51,500","-","8","개인","개인","2019","동탄대로24가길 30","-","중개거래","경기 화성시 동탄구","-"
"6","인천광역시 서구 마전동","1151-1","1151","0001","대원레스피아2차","59.7410","202606","12","22,800","-","16","개인","개인","2004","가현로 71","-","중개거래","인천 서구","-"
"7","인천광역시 남동구 논현동","634-1","0634","0001","어진마을한화꿈에그린(6단지)","119.9510","202606","12","50,000","-","12","개인","개인","2007","논현로 106","-","중개거래","인천 남동구","-"
"8","인천광역시 계양구 효성동","21-11","0021","0011","현대1","84.9450","202606","12","31,800","-","7","개인","개인","1991","길마로78번길 3","-","중개거래","인천 계양구","-"
"9","경기도 시흥시 신천동","953","0953","0000","신천코아루웰라움","77.8724","202606","12","46,000","-","14","개인","개인","2020","시흥대로 1124-17","-","중개거래","경기 시흥시","-"
"10","부산광역시 기장군 기장읍 동부리","159-10","0159","0010","동보시티빌","65.2950","202606","12","6,000","-","6","개인","개인","2003","차성로322번길 39","-","중개거래","부산 기장군","-"
