"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-04-25 ~ 2026-05-02"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","충청남도 천안시 서북구 성거읍 저리","53-2","0053","0002","삼일원앙","37.9250","202605","02","6,700","-","4","개인","개인","1998","성거길 103","-","중개거래","충남 천안시 서북구","-"
"2","부산광역시 영도구 영선동4가","186-46","0186","0046","반도보라","99.9600","202605","02","38,500","-","6","개인","개인","2000","해안산책길 30","-","중개거래","부산 영도구","-"
"3","충청남도 천안시 서북구 두정동","527","0527","0000","주공그린(8단지)","59.9700","202605","02","13,850","-","7","개인","개인","1996","봉정로 381","-","중개거래","충남 천안시 서북구","-"
"4","경기도 용인시 수지구 상현동","861","0861","0000","만현마을8단지두산위브","135.1300","202605","02","81,000","-","2","개인","개인","2002","만현로 127","-","중개거래","경기 용인시 수지구","-"
"5","경기도 수원시 영통구 망포동","760","0760","0000","영통아이파크캐슬2단지","75.9300","202605","02","84,800","-","1","개인","개인","2019","덕영대로 1400","-","중개거래","경기 수원시 영통구","-"
"6","경기도 용인시 처인구 남사읍 완장리","949","0949","0000","e편한세상용인한숲시티3단지","84.6580","202605","02","42,800","-","18","개인","개인","2018","한숲로 123","-","중개거래","경기 용인시 처인구","-"
"7","충청남도 천안시 서북구 직산읍 삼은리","591","0591","0000","직산월드메르디앙레이크파크","59.9434","202605","02","21,600","-","15","개인","개인","2020","직산로 59","-","중개거래","충남 천안시 서북구","-"
"8","경기도 용인시 처인구 역북동","809","0809","0000","역북지웰푸르지오","74.9964","202605","02","55,000","-","15","개인","개인","2017","명지로40번길 35-16","-","중개거래","경기 용인시 처인구","-"
"9","충청남도 천안시 서북구 쌍용동","388-2","0388","0002","현대3","59.4000","202605","02","11,500","-","18","개인","개인","1994","충무로 208","-","중개거래","충남 천안시 동남구","-"
"10","경기도 용인시 처인구 남사읍 완장리","949","0949","0000","e편한세상용인한숲시티3단지","44.2600","202605","02","26,800","-","5","개인","개인","2018","한숲로 123","-","중개거래","경기 용인시 처인구","-"
