"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-21 ~ 2026-02-20"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 강원특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","강원특별자치도 원주시 태장동","129","0129","0000","태장동성호아파트","49.9950","202602","19","6,700","-","10","개인","개인","1998","치악로 2047","-","중개거래","강원 원주시","-"
"2","강원특별자치도 원주시 문막읍 건등리","194-1","0194","0001","대보","56.6000","202602","19","4,000","-","4","개인","개인","1991","원문로 1613","-","중개거래","강원 원주시","-"
"3","강원특별자치도 춘천시 우두동","1082","1082","0000","강변코아루","119.7870","202602","19","30,000","-","4","개인","개인","2007","새청말길 26","-","직거래","-","-"
"4","강원특별자치도 원주시 무실동","1921","1921","0000","더샵원주센트럴파크1단지","84.9768","202602","19","52,500","-","21","개인","개인","2021","한지공원길 120","-","중개거래","강원 원주시","-"
"5","강원특별자치도 춘천시 퇴계동","1235","1235","0000","춘천퇴계 세영리첼아파트","72.7940","202602","19","31,200","-","7","개인","개인","2018","김유정로 1866","-","중개거래","강원 춘천시","-"
"6","강원특별자치도 원주시 봉산동","1201","1201","0000","삼익","59.9900","202602","19","12,000","-","8","개인","개인","1995","행구로 84","-","직거래","-","-"
"7","강원특별자치도 원주시 개운동","118-26","0118","0026","덕산","75.9470","202602","19","11,000","-","8","개인","개인","1992","치악로 1777","-","중개거래","강원 원주시","-"
"8","강원특별자치도 춘천시 후평동","912","0912","0000","춘천후평우미린뉴시티","77.7520","202602","19","38,000","-","8","개인","개인","2021","보안길 36","-","중개거래","강원 춘천시","-"
"9","강원특별자치도 원주시 지정면 가곡리","1453","1453","0000","EG-the1아파트","84.9822","202602","19","26,700","-","6","개인","개인","2019","신지정로 325","-","중개거래","강원 원주시","-"
"10","강원특별자치도 춘천시 퇴계동","967","0967","0000","퇴계주공1차","49.7100","202602","19","16,200","-","4","개인","개인","2000","퇴계로 167","-","중개거래","강원 춘천시","-"
"11","강원특별자치도 춘천시 퇴계동","983","0983","0000","퇴계2주공","59.9900","202602","19","18,850","-","8","개인","법인","1999","퇴계로 168","-","중개거래","강원 춘천시","-"
"12","강원특별자치도 원주시 단계동","809","0809","0000","벽산","95.2700","202602","19","19,500","-","10","개인","개인","1993","백간길 80","-","중개거래","강원 원주시","-"
"13","강원특별자치도 원주시 단계동","1184","1184","0000","원주봉화산푸르지오","60.8496","202602","19","24,900","-","23","개인","개인","2017","봉화서부로 11","-","중개거래","강원 원주시","-"
"14","강원특별자치도 원주시 무실동","1645","1645","0000","무실주공3단지","45.9800","202602","19","16,000","-","5","개인","개인","2003","시청로 92","-","중개거래","강원 원주시","-"
"15","강원특별자치도 영월군 영월읍 하송리","394","0394","0000","주공4","49.9600","202602","19","9,050","-","11","개인","개인","1999","하송로 123-7","-","중개거래","강원 영월군","-"
"16","강원특별자치도 강릉시 입암동","711","0711","0000","강릉더샵","84.9400","202602","19","31,000","-","8","개인","개인","2014","입암로29번길 11","-","직거래","-","-"
"17","강원특별자치도 강릉시 회산동","610","0610","0000","강릉회산한신더휴","84.9610","202602","19","37,000","-","13","개인","개인","2019","회산로 313","-","중개거래","강원 강릉시","-"
