"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-08-01 ~ 2026-08-08"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 용인시 수지구 상현동","853","0853","0000","광교상현마을현대","79.3360","202608","08","107,200","-","3","개인","개인","2001","상현로 2","-","중개거래","경기 용인시 수지구","-"
"2","경기도 수원시 팔달구 고등동","310","0310","0000","수원역푸르지오자이","74.9800","202608","08","82,500","-","1","개인","개인","2021","고등로 15","-","중개거래","경기 수원시 팔달구","-"
"3","경기도 용인시 수지구 상현동","824","0824","0000","광교쌍용포레듀엔","133.6091","202608","08","72,500","-","3","개인","개인","2001","상현로 27","-","중개거래","경기 용인시 수지구","-"
"4","경기도 수원시 팔달구 매교동","300","0300","0000","매교역푸르지오SKVIEW","59.9400","202608","08","91,000","-","7","개인","개인","2023","인계로 20","-","중개거래","경기 수원시 팔달구","-"
"5","부산광역시 수영구 광안동","662-1","0662","0001","힐탑더블시티","49.7385","202608","08","18,600","-","15","개인","개인","2015","수영로 641","-","중개거래","부산 수영구","-"
"6","경기도 용인시 수지구 동천동","BL-","0000","0000","동천센트럴자이","104.4908","202608","08","163,000","-","10","개인","개인","2019","고기로45번길 40-18","-","중개거래","경기 용인시 수지구","-"
"7","경기도 수원시 팔달구 고등동","310","0310","0000","수원역푸르지오자이","74.9800","202608","08","81,800","-","13","개인","개인","2021","고등로 15","-","중개거래","경기 수원시 팔달구","-"
"8","울산광역시 남구 무거동","833-1","0833","0001","선경","71.9850","202608","08","12,500","-","14","개인","개인","1991","신복로 67","-","중개거래","울산 남구, 울산 중구","-"
"9","경기도 용인시 처인구 역북동","809","0809","0000","역북지웰푸르지오","59.9272","202608","08","52,800","-","10","개인","개인","2017","명지로40번길 35-16","-","중개거래","경기 용인시 처인구","-"
"10","경기도 용인시 수지구 죽전동","1262","1262","0000","도담마을한양수자인","59.9756","202608","07","68,800","-","2","개인","개인","2004","푸른솔로 76","-","중개거래","경기 용인시 기흥구","-"
"11","경기도 용인시 수지구 신봉동","870","0870","0000","신봉마을엘지빌리지5차(A)","134.3140","202608","07","90,000","-","3","개인","개인","2002","신봉1로 112-2","-","중개거래","경기 용인시 수지구","-"
"12","울산광역시 남구 신정동","1918","1918","0000","울산문수로두산위브더제니스","84.4404","202608","07","81,000","-","19","개인","개인","2022","문수로 487","-","중개거래","울산 남구","-"
"13","부산광역시 해운대구 반여동","1411-10","1411","0010","현대그린맨션","84.8100","202608","07","33,200","2","8","개인","개인","1986","선수촌로21번길 65","-","중개거래","부산 해운대구","26.08.07"
"14","서울특별시 은평구 응암동","739","0739","0000","응암동금호","84.9300","202608","07","82,000","-","3","개인","개인","1998","응암로 318","-","중개거래","서울 은평구","-"
"15","울산광역시 남구 무거동","276-1","0276","0001","굴화주공2","59.9900","202608","07","20,500","-","12","개인","개인","1996","굴화4길 22","-","중개거래","울산 남구","-"
"16","울산광역시 남구 야음동","401-1","0401","0001","울산호수공원대명루첸아파트","73.0200","202608","07","55,700","-","4","개인","개인","2020","신선로 186","-","중개거래","울산 남구","-"
"17","전남광주통합특별시 광산구 소촌동","880","0880","0000","힐스테이트광산","84.9216","202608","07","41,400","-","13","개인","개인","2022","어등대로647번북길 8","-","중개거래","전남광주 광산구","-"
"18","충청북도 청주시 청원구 오창읍 주성리","556","0556","0000","오창대성베르힐","84.8520","202608","07","31,000","-","6","개인","개인","2015","2산단로 160","20260808","중개거래","충북 청주시 청원구","-"
"19","경기도 고양시 덕양구 신원동","609","0609","0000","신원마을1단지우남퍼스트빌","64.9773","202608","07","55,300","-","4","개인","개인","2015","통일로 374","20260808","중개거래","경기 고양시 덕양구","-"
