"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-06-13 ~ 2026-06-20"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","충청남도 천안시 서북구 성성동","696","0696","0000","천안레이크타운푸르지오","84.9076","202606","20","50,000","-","15","개인","개인","2017","성성6로 111","-","중개거래","충남 천안시 서북구","-"
"2","경기도 안산시 단원구 고잔동","852","0852","0000","고잔롯데캐슬골드파크","49.6600","202606","20","48,300","-","12","개인","개인","2018","적금로 164","-","중개거래","경기 안산시 단원구","-"
"3","경기도 안산시 단원구 초지동","741","0741","0000","서해그랑블","84.9620","202606","20","42,700","-","3","개인","개인","2004","초지1로 78","-","중개거래","경기 안산시 단원구","-"
"4","충청남도 천안시 서북구 성성동","969","0969","0000","천안레이크타운3차푸르지오","59.9903","202606","20","40,450","-","5","개인","개인","2020","성성6로 68","-","중개거래","충남 천안시 서북구","-"
"5","충청남도 천안시 서북구 두정동","2068","2068","0000","한화포레나천안두정","76.8181","202606","20","42,000","-","8","개인","개인","2022","천안대로 980-17","-","중개거래","충남 천안시 동남구, 충남 천안시 서북구","-"
"6","경상남도 김해시 장유동","846","0846","0000","원메이저자이","59.9856","202606","20","32,500","-","6","개인","개인","2018","율하6로 18","-","중개거래","경남 김해시","-"
"7","충청남도 천안시 서북구 성성동","969","0969","0000","천안레이크타운3차푸르지오","59.9767","202606","20","37,000","-","29","개인","개인","2020","성성6로 68","-","중개거래","충남 천안시 서북구","-"
"8","충청남도 천안시 서북구 백석동","915","0915","0000","그린빌1차","75.9900","202606","20","24,800","-","2","개인","개인","2002","백석3로 69","-","중개거래","충남 천안시 서북구","-"
"9","경기도 안산시 단원구 초지동","725","0725","0000","주공그린빌14단지","59.7600","202606","20","37,500","-","5","개인","개인","2002","광덕2로 32","-","중개거래","경기 안산시 단원구","-"
"10","경상남도 김해시 대청동","334-4","0334","0004","갑오마을6단지부영9차","80.7474","202606","20","15,800","-","15","개인","개인","2002","계동로 76-56","-","중개거래","경남 김해시","-"
"11","충청남도 천안시 서북구 불당동","1811","1811","0000","불당호반베르디움TheFirst","59.9160","202606","20","47,500","-","4","개인","개인","2016","불당19로 200","-","중개거래","충남 천안시 서북구","-"
"12","충청남도 천안시 서북구 두정동","2063","2063","0000","e편한세상두정3차","75.7971","202606","20","31,500","-","2","개인","개인","2017","북일로 21","-","중개거래","충남 천안시 서북구","-"
"13","경상남도 김해시 무계동","156-1","0156","0001","석봉마을9단지부영5차","47.3820","202606","20","8,600","-","12","개인","개인","2002","금관대로599번길 27","-","중개거래","경남 김해시","-"
"14","충청남도 천안시 서북구 두정동","2063","2063","0000","e편한세상두정3차","84.9888","202606","20","36,500","-","21","개인","개인","2017","북일로 21","-","중개거래","충남 천안시 서북구","-"
"15","경기도 안양시 동안구 관양동","1587","1587","0000","공작럭키","49.8000","202606","20","65,000","-","4","개인","개인","1993","학의로 168","-","중개거래","경기 안양시 동안구","-"
"16","충청남도 천안시 서북구 성성동","696","0696","0000","천안레이크타운푸르지오","62.4755","202606","20","38,000","-","18","개인","개인","2017","성성6로 111","-","중개거래","충남 천안시 서북구","-"
"17","충청남도 천안시 서북구 차암동","543","0543","0000","e편한세상스마일시티2차","74.9402","202606","20","23,500","-","11","개인","개인","2016","스마일시티2로 2","-","중개거래","충남 아산시, 충남 천안시 서북구","-"
"18","경상남도 김해시 장유동","873","0873","0000","원메이저힐스테이트","84.9639","202606","20","46,800","-","23","개인","개인","2018","율하5로 99","-","중개거래","경남 김해시","-"
"19","경상남도 김해시 관동동","448-3","0448","0003","팔판마을부영그린타운8차","84.7888","202606","20","15,500","-","5","개인","개인","2005","계동로 31","-","중개거래","경남 김해시","-"
"20","경상남도 김해시 관동동","1169","1169","0000","힐스테이트김해","59.8814","202606","20","26,700","-","19","개인","개인","2019","관동로27번길 39","-","중개거래","경남 김해시","-"
"21","서울특별시 은평구 불광동","641","0641","0000","북한산현대힐스테이트3차아파트","84.9600","202606","20","95,000","-","2","개인","개인","2010","불광로 122-10","-","중개거래","서울 은평구","-"
"22","경상남도 김해시 율하동","1370","1370","0000","율현마을이편한세상9단지","84.8720","202606","20","38,700","-","16","개인","개인","2013","율하1로 130","-","중개거래","경남 김해시","-"
"23","경상남도 김해시 관동동","1121","1121","0000","죽림마을한림풀에버7단지","84.9201","202606","20","33,200","-","17","개인","개인","2013","율하3로 100","-","중개거래","경남 김해시","-"
"24","경상남도 김해시 율하동","1370","1370","0000","율현마을이편한세상9단지","84.8470","202606","20","37,300","-","6","개인","개인","2013","율하1로 130","-","중개거래","경남 김해시","-"
"25","충청남도 천안시 서북구 두정동","2068","2068","0000","한화포레나천안두정","76.7079","202606","19","41,200","-","12","개인","개인","2022","천안대로 980-17","-","중개거래","충남 천안시 서북구","-"
"26","경기도 안산시 단원구 원곡동","1002","1002","0000","e편한세상초지역센트럴포레","49.9440","202606","19","49,800","-","20","개인","개인","2021","라성로 16","-","중개거래","경기 안산시 단원구","-"
"27","충청남도 천안시 서북구 두정동","2078","2078","0000","두정역효성해링턴플레이스","59.9200","202606","19","31,500","-","10","개인","개인","2020","봉정로 324","-","중개거래","충남 천안시 서북구","-"
"28","충청남도 천안시 서북구 성성동","827","0827","0000","천안시티자이","84.8853","202606","19","44,000","-","18","개인","개인","2018","성성6로 21","-","중개거래","충남 천안시 서북구","-"
"29","충청북도 진천군 진천읍 교성리","466","0466","0000","진천풍림아이원트리니움","74.9600","202606","19","27,500","201동","20","개인","개인","2025","대학로 36","-","직거래","-","26.06.19"
"30","경기도 안산시 단원구 초지동","731","0731","0000","호수마을풍림","84.9600","202606","19","46,800","-","7","개인","개인","2000","광덕1로 80","-","중개거래","경기 안산시 단원구","-"
"31","경상북도 예천군 호명읍 산합리","1393","1393","0000","동일스위트더파크","84.7978","202606","19","31,000","123동","9","개인","개인","2019","행복로 177","-","직거래","-","26.06.19"
"32","제주특별자치도 제주시 이도일동","1784-17","1784","0017","진용이지빌2차","84.8900","202606","19","34,000","-","2","개인","개인","2016","광양6길 28","-","직거래","-","-"
"33","경상남도 김해시 삼문동","62-7","0062","0007","젤미마을8단지파크뷰","59.9610","202606","19","11,000","-","4","개인","개인","2002","대청로210번길 35","-","중개거래","경남 김해시","-"
"34","서울특별시 은평구 진관동","27","0027","0000","구파발10단지어울림(1011~1019동)BL3-1","84.8000","202606","19","91,500","-","4","개인","개인","2010","진관3로 15-45","-","중개거래","서울 은평구","-"
"35","서울특별시 은평구 수색동","416-1","0416","0001","DMC 진흥","57.5033","202606","19","71,500","-","9","개인","개인","2003","은평터널로 60","-","중개거래","서울 은평구","-"
"36","경상남도 김해시 율하동","1370","1370","0000","율현마을이편한세상9단지","84.8720","202606","19","37,300","-","3","개인","개인","2013","율하1로 130","-","중개거래","경남 김해시","-"
"37","경상남도 김해시 무계동","578","0578","0000","무계서희스타힐스","71.9605","202606","19","23,200","-","6","개인","개인","2020","장유로307번길 17","-","중개거래","경남 김해시","-"
"38","경기도 양주시 옥정동","1051","1051","0000","e편한세상옥정에듀써밋","66.9696","202606","19","39,200","-","1","개인","개인","2018","옥정동로1길 63","20260620","중개거래","경기 양주시","-"
"39","경기도 안성시 공도읍 용두리","752","0752","0000","주은풍림","49.7700","202606","19","11,650","-","6","개인","개인","2002","서동대로 4079","-","중개거래","경기 안성시","-"
"40","경기도 수원시 권선구 당수동","744","0744","0000","쌍용스윗닷홈2단지","84.9416","202606","19","34,200","-","15","개인","개인","2005","당진로31번길 51-18","-","중개거래","경기 수원시 권선구","-"
"41","경기도 용인시 처인구 유방동","181","0181","0000","성웅","59.9200","202606","19","15,800","-","9","개인","개인","1998","영문로29번길 17","-","중개거래","경기 용인시 처인구","-"
"42","충청남도 계룡시 두마면 농소리","971","0971","0000","한라비발디더센트럴","59.9701","202606","19","27,850","-","7","개인","개인","2023","대실남북3길 16","-","중개거래","충남 계룡시","-"
"43","경기도 남양주시 평내동","606","0606","0000","평내마을중흥에스-클래스(2단지)","84.9272","202606","19","40,500","-","7","개인","개인","2004","의안로 148","-","중개거래","경기 남양주시","-"
"44","경기도 용인시 기흥구 서천동","700","0700","0000","SK","84.4640","202606","19","51,000","-","6","개인","개인","2002","예현로 15","-","중개거래","경기 용인시 기흥구","-"
"45","경기도 군포시 산본동","1151-5","1151","0005","한양수리","96.3590","202606","19","64,500","-","22","개인","개인","1994","수리산로 40","-","중개거래","경기 군포시","-"
"46","서울특별시 양천구 신월동","1063","1063","0000","롯데캐슬","59.7470","202606","19","113,000","-","9","개인","개인","2014","중앙로29길 61","-","중개거래","서울 양천구","-"
"47","충청북도 청주시 청원구 사천동","444-1","0444","0001","사천동대창2차101동","49.6752","202606","19","8,250","-","13","개인","개인","2000","새터로 186","-","중개거래","충북 청주시 청원구","-"
"48","부산광역시 기장군 정관읍 모전리","776","0776","0000","정관동일스위트2차","84.9803","202606","19","28,000","-","17","개인","개인","2013","정관3로 23","-","중개거래","부산 기장군","-"
"49","부산광역시 북구 만덕동","955","0955","0000","백양디이스트(1단지)","84.9944","202606","19","31,900","-","7","개인","개인","2015","덕천로276번길 60","-","중개거래","부산 북구","-"
"50","대전광역시 동구 신흥동","264","0264","0000","신흥SKVIEW","84.9717","202606","19","58,600","-","22","개인","개인","2022","충무로 255","-","중개거래","대전 대덕구, 대전 동구","-"
"51","광주광역시 동구 소태동","1103","1103","0000","무등산골드클래스","59.9834","202606","19","30,000","-","20","개인","개인","2018","학소로 109","-","중개거래","광주 동구","-"
"52","경기도 용인시 기흥구 중동","860","0860","0000","성산마을서해그랑블","129.8970","202606","19","58,000","-","8","개인","개인","2006","동백4로 26","-","중개거래","경기 용인시 기흥구","-"
"53","경기도 수원시 권선구 입북동","815","0815","0000","서수원레이크푸르지오2단지","84.9310","202606","19","49,500","-","24","개인","개인","2014","입북로77번길 61","-","중개거래","경기 수원시 권선구","-"
"54","부산광역시 강서구 명지동","3400","3400","0000","부산명지중흥S-클래스프라디움","59.9962","202606","19","30,700","-","16","개인","개인","2016","명지국제7로 133","-","중개거래","부산 강서구","-"
"55","경기도 김포시 걸포동","294-38","0294","0038","한강파크뷰우방아이유쉘","84.8318","202606","19","49,250","-","15","개인","개인","2019","걸포1로 40","-","직거래","-","-"
"56","서울특별시 광진구 자양동","641","0641","0000","경남","114.9700","202606","19","185,000","-","7","개인","개인","1999","뚝섬로52길 71","-","중개거래","서울 광진구","-"
"57","경상남도 창원시 마산회원구 양덕동","77-8","0077","0008","마산양덕동동아위드필하임","79.0133","202606","19","32,900","-","16","개인","개인","2017","양덕서로 45-1","-","중개거래","경남 창원시 마산회원구","-"
"58","광주광역시 서구 풍암동","1058","1058","0000","삼능남양","60.0000","202606","19","15,900","-","9","개인","개인","2000","풍암순환로 86","-","중개거래","광주 서구","-"
"59","경기도 수원시 권선구 권선동","1357","1357","0000","수원아이파크시티4단지","84.9130","202606","19","60,700","-","8","개인","개인","2012","동수원로145번길 23","-","중개거래","경기 수원시 권선구","-"
"60","인천광역시 연수구 송도동","2-7","0002","0007","송도풍림아이원1단지","84.7167","202606","19","57,500","-","9","개인","개인","2005","신송로118번길 6","-","중개거래","인천 연수구","-"
"61","전북특별자치도 익산시 신동","764-4","0764","0004","씨즈퍼스트","18.0700","202606","19","10,000","-","2","개인","개인","2013","익산대로68길 51","-","중개거래","전북 익산시","-"
"62","경기도 남양주시 화도읍 월산리","1528","1528","0000","남양주월산사랑으로부영1단지","148.0042","202606","19","39,000","-","30","개인","개인","2015","경춘로2290번길 2","-","중개거래","경기 남양주시","-"
"63","충청남도 천안시 서북구 두정동","2063","2063","0000","e편한세상두정3차","84.9959","202606","19","38,500","-","17","개인","개인","2017","북일로 21","-","중개거래","충남 천안시 서북구","-"
"64","충청북도 충주시 연수동","1767","1767","0000","충주센트럴푸르지오","84.9593","202606","19","47,800","-","23","개인","개인","2018","연수서편2길 11","-","중개거래","충북 충주시","-"
"65","충청북도 청주시 상당구 탑동","42","0042","0000","보성트윈힐스","38.8900","202606","19","6,500","-","6","개인","개인","1998","중고개로 349","-","중개거래","충북 청주시 상당구","-"
"66","경상남도 양산시 물금읍 가촌리","1272-10","1272","0010","이지더원1차에듀파크","59.9906","202606","19","27,000","-","17","개인","개인","2016","새실로 53","-","중개거래","경남 양산시","-"
"67","경기도 평택시 칠원동","499","0499","0000","동광","59.8540","202606","19","13,800","-","10","개인","개인","2003","원칠원길 56","-","중개거래","경기 평택시","-"
"68","경상남도 김해시 장유동","849","0849","0000","원메이저푸르지오","84.9639","202606","19","43,000","-","11","개인","개인","2018","율하로 479","-","중개거래","경남 김해시","-"
